る,穝戈,猳基98,猳基95,猳基92,猳基猳
103/1,141368,37.4,35.4,33.9,32.8
103/2,55617,37.2,35.2,33.7,32.6
103/3,55843,37.4,35.4,33.9,32.9
103/4,64507,36.9,34.9,33.4,32.2
103/5,70366,37.2,35.2,33.7,32.6
103/6,54686,37.4,35.4,33.9,32.8
103/7,66777,37.5,35.5,34,33
103/8,56216,36.9,34.9,33.4,32.3
103/9,58642,36.2,34.2,32.7,31.4
103/10,55310,35,33,31.5,30.2
103/11,55650,33.3,31.3,29.8,28.4
103/12,61083,31.6,29.6,28.1,26.4
104/1,66826,27.8,25.8,24.3,22.3
104/2,131089,25.6,23.6,22.1,19.9
104/3,57332,28.5,26.5,25,23.1
104/4,62822,27.6,25.6,24.1,22.1
104/5,66157,29.2,27.2,25.7,23.8
104/6,59861,29.1,27.1,25.6,23.6
104/7,66919,29,27,25,23.6
104/8,55769,27.6,25.6,24.1,22
104/9,59718,26.9,24.9,23.4,21.3
104/10,55847,26.3,24.3,22.8,20.6
104/11,55275,26.1,24.1,22.6,20.4
104/12,60968,25.1,23.1,21.6,19.3
105/1,122517,23.4,21.4,19.9,17.4
105/2,72929,22.8,20.8,19.3,16.5
105/3,56669,23.9,21.9,20.4,17.7
105/4,63855,24.6,22.6,21.1,18.4
105/5,72936,26.1,24.1,22.6,20.1
105/6,59635,27.1,25.1,23.6,21.2
105/7,70146,26.9,24.9,23.4,20.9
105/8,57488,25.6,23.6,22.1,19.5
105/9,60973,26.4,24.4,22.9,20.4
105/10,56906,26.2,24.2,22.7,20.2
105/11,57923,26.3,24.3,22.8,20.4
105/12,61017,27.1,25.1,23.6,21.2
106/1,138671,28.8,26.8,25.3,23
106/2,64417,28.5,26.5,25,22.7
106/3,59316,28.4,26.4,24.9,22.6
106/4,66999,27.2,25.2,23.7,21.3
106/5,71390,27.2,25.2,23.7,21.3
106/6,58075,27,25,23.5,21.1
