"鄉鎮市區","土地區段位置或建物區門牌","都市土地使用分區","交易年月日","交易筆棟數","移轉層次","總樓層數","建物型態","主要用途","主要建材","建築完成年月","建物移轉總面積平方公尺","建物現況格局.房","建物現況格局.廳","建物現況格局.衛","建物現況格局.隔間","有無管理組織","總價元","單價每平方公尺","編號"
"中山區","臺北市中山區民族東路181~210號","住",1011129,"土地1建物1車位0","一層，騎樓","三層","公寓(5樓含以下無電梯)",NA,"鋼筋混凝土造",611121,87.75,3,2,1,"有","無",21680000,247066,"RPWNMLPLQHMFFCA78CA"
"大安區","臺北市大安區和平東路三段271~300號","住",1060612,"土地1建物1車位0","七層","七層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",730517,170.46,3,1,2,"有","有",24000000,140795,"RPQOMLNLQHMFFFA48DA"
"大安區","臺北市大安區潮州街60巷1~30號","住",1060520,"土地1建物1車位0","七層","七層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",980206,53.96,2,1,1,"有","有",16320000,302446,"RPPNMLOKQHMFFFA18CA"
"大安區","臺北市大安區羅斯福路三段283巷19弄1~30號","住",1060604,"土地2建物1車位0","六層","六層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",720414,132.16,2,2,2,"有","有",30000000,226998,"RPQNMLOKQHMFFFA28CA"
"萬華區","臺北市萬華區桂林路127巷1~30號","商",1060626,"土地1建物1車位0","全","二層","透天厝",NA,"加強磚造",NA,91.38,2,3,3,"有","無",10650000,116546,"RPSOMLMLQHMFFBA18DA"
"大安區","臺北市大安區和平東路二段151~180號","商",1060610,"土地2建物1車位0","二層","十二層","住宅大樓(11層含以上有電梯)","商業用","鋼筋混凝土造",700903,128.54,3,2,2,"有","有",27800000,216275,"RPROMLSKPHMFFFA78CA"
"大安區","臺北市大安區瑞安街61巷1弄1~30號","住",1060603,"土地2建物1車位0","三層","四層","公寓(5樓含以下無電梯)","住家用","加強磚造",NA,211.09,5,2,3,"有","無",38600000,182860,"RPOOMLOLPHMFFFA18CA"
"大安區","臺北市大安區永康街4巷1~30號","住",1060627,"土地1建物1車位0","六層","十層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",960911,50.1,0,0,0,"無","有",16880000,336926,"RPTPMLOLPHMFFFA78CA"
"北投區","臺北市北投區關渡路31~60號","住",1060605,"土地1建物1車位0","十七層","十七層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",781208,178.04,3,2,2,"有","有",21000000,117951,"RPPPMLTJQHMFFEA68CA"
"萬華區","臺北市萬華區西藏路91~120號","住",1060701,"土地2建物1車位0","十一層","十五層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",1000908,190.14,3,2,2,"有","有",23980000,126118,"RPPNMLRKQHMFFBA18DA"
